nome,genero,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,data_nascimento,salario_bruto,quant_viagem,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par
 ENIO JOSÉ VERRI,M,89,1,2,32,4,0, 27/03/1961,"33.763,00",0,"1.111.367,61","111.398,83","111.398,83","111.398,83","110.220,44","110.749,59","110.538,29","111.455,18","110.876,18","111.665,72","111.665,72",0,0,"341.401,56","38.190,58","37.467,64","68.879,63","38.986,43","43.960,07","29.704,02","25.886,97","22.258,37","24.764,98","11.302,87",0,0
 ENRICO VAN BLARCUM DE GRAAFF MISASI,M,87,5,0,43,21,0, 06/08/1994,"33.763,00",0,"1.106.991,70","111.586,88","111.302,18","110.816,09","106.788,80","110.974,20","110.159,38","111.013,37","111.312,77","111.544,46","111.493,57",0,0,"311.478,65","24.947,21","27.020,22","42.425,59","43.740,70","54.222,55","37.817,19","41.206,87","22.642,88","16.871,36","525,61",0,0
 EROS FERREIRA BIONDINI,M,88,0,4,33,14,1, 20/05/1971,"33.763,00",0,"836.020,40","90.223,04","90.223,04","86.035,27","78.682,22","79.786,71","78.922,44","78.922,44","79.682,04","86.771,60","86.771,60",0,0,"271.458,23","20.515,33","28.975,49","33.405,69","31.526,03","36.712,77","29.487,20","35.290,07","20.709,20","17.992,30","15.160,88",0,0
 EUCLYDES MARCOS PETTERSEN NETO,M,77,1,14,6,13,6, 15/08/1984,"33.763,00",1,"1.102.008,88","101.942,13","110.241,46","111.623,19","111.623,22","111.623,22","110.951,73","109.856,30","110.901,19","111.623,22","111.623,22",0,0,"229.414,98","39.458,55","32.301,23","28.593,33","36.303,64","35.945,83","21.880,35","11.556,55","10.510,19","6.865,31","6.000,00",0,0
 EXPEDITO GONCALVES FERREIRA NETTO,M,82,1,9,2,16,3, 05/10/1988,"33.763,00",0,"1.099.381,29","111.544,33","111.544,33","111.544,33","111.529,16","111.539,45","111.100,52","109.785,83","109.894,82","110.132,19","100.766,33",0,0,"210.097,39","14.767,54","30.093,83","31.810,97","30.510,09","25.416,15","18.925,02","27.570,19","12.641,28","1.388,85","15.991,39",0,0
 FABIO CRUZ MITIDIERI,M,54,8,10,17,19,8, 24/02/1977,"33.763,00",0,"1.085.769,32","109.876,31","106.389,76","109.876,31","109.876,31","109.876,31","107.693,02","97.566,52","111.538,26","111.538,26","111.538,26",0,0,"227.041,28","35.258,61","43.620,72","33.042,39","44.648,72","45.112,33","24.812,68","545,83",0,0,0,0,0
 FÁBIO AUGUSTO RAMALHO DOS SANTOS,M,88,4,0,19,17,0, 22/12/1961,"33.763,00",0,"1.073.082,80","106.849,52","105.995,76","104.102,48","110.337,36","103.699,99","104.762,87","104.762,87","110.775,07","111.665,77","110.131,11",0,0,"279.623,33","37.959,25","45.891,80","34.431,36","27.698,63","36.101,94","23.280,97","25.058,29","19.706,66","16.954,06","11.293,22",0,0
 EVAIR VIEIRA DE MELO,M,87,2,3,67,4,1, 02/04/1972,"33.763,00",0,"1.096.962,77","106.904,01","110.527,26","107.201,84","107.178,21","108.042,26","111.172,72","111.328,33","111.555,88","111.526,13","111.526,13",0,0,"308.184,85","38.264,38","44.663,80","61.029,26","38.441,09","43.315,06","24.394,91","23.069,95","14.844,44","2.615,55","17.430,15",0,0
 FABIO HENRIQUE SANTANA DE CARVALHO,M,90,2,0,75,22,0, 19/06/1972,"33.763,00",0,"1.103.960,07","110.763,22","111.436,47","110.870,47","105.066,49","109.456,57","110.377,32","111.465,54","111.465,54","111.465,54","111.592,91",0,0,"368.974,61","40.955,79","38.278,23","46.688,34","53.420,14","51.837,95","35.534,63","55.589,55","24.846,87","10.956,64","10.828,96",0,0
 FAUSTO RUY PINATO,M,77,3,12,43,11,11, 01/06/1977,"33.763,00",0,"980.822,68","91.753,84","90.661,58","91.078,38","93.641,40","98.083,43","98.203,30","101.733,13","105.365,38","105.151,12","105.151,12",0,0,"319.737,01","23.272,69","28.054,73","37.320,63","39.811,88","63.069,18","29.443,84","35.430,36","32.548,24","26.577,30","4.208,16",0,0
 LUIS FELIPE BONATTO FRANCISCHINI,M,86,4,2,26,39,1, 02/10/1991,"33.763,00",0,"1.107.177,89","111.598,86","111.598,86","111.598,86","111.598,86","111.598,86","111.598,86","111.598,86","110.754,73","107.237,53","107.993,61",0,0,"285.261,63","36.420,46","40.851,46","28.714,76","44.628,80","52.025,43","41.969,22","15.569,99","12.110,34","3.248,13","9.523,04",0,0
 FELIPE RIGONI LOPES,M,86,0,6,84,32,7, 13/06/1991,"33.763,00",0,"961.510,10","97.934,05","100.493,35","100.959,56","100.959,56","104.522,55","89.598,50","80.482,02","93.565,41","93.565,41","99.429,69",0,0,"304.207,28","41.526,20","36.360,96","37.743,41","40.781,58","54.439,33","34.092,96","18.297,10","23.638,57","8.762,92","8.564,25",0,0
